week_number,router_id,movement_count
40,8a734674-e451-4fe1-8b50-3b3b46e334a1,250801
25,07190dec-be71-44a2-8d64-c24fb51ebc7b,250179
24,07190dec-be71-44a2-8d64-c24fb51ebc7b,246567
37,8a734674-e451-4fe1-8b50-3b3b46e334a1,244905
36,8a734674-e451-4fe1-8b50-3b3b46e334a1,243000
23,07190dec-be71-44a2-8d64-c24fb51ebc7b,238952
38,8a734674-e451-4fe1-8b50-3b3b46e334a1,238501
41,64642101-76de-4d38-9a09-c595b0c310d5,238372
39,8a734674-e451-4fe1-8b50-3b3b46e334a1,238336
26,07190dec-be71-44a2-8d64-c24fb51ebc7b,237599
27,64642101-76de-4d38-9a09-c595b0c310d5,232944
16,8a734674-e451-4fe1-8b50-3b3b46e334a1,232868
20,07190dec-be71-44a2-8d64-c24fb51ebc7b,231798
21,07190dec-be71-44a2-8d64-c24fb51ebc7b,231093
11,64642101-76de-4d38-9a09-c595b0c310d5,230819
22,07190dec-be71-44a2-8d64-c24fb51ebc7b,229203
47,64642101-76de-4d38-9a09-c595b0c310d5,228186
42,64642101-76de-4d38-9a09-c595b0c310d5,225993
29,64642101-76de-4d38-9a09-c595b0c310d5,224487
44,64642101-76de-4d38-9a09-c595b0c310d5,224176
28,64642101-76de-4d38-9a09-c595b0c310d5,223896
15,8a734674-e451-4fe1-8b50-3b3b46e334a1,223124
12,64642101-76de-4d38-9a09-c595b0c310d5,222492
46,8a734674-e451-4fe1-8b50-3b3b46e334a1,221828
14,8a734674-e451-4fe1-8b50-3b3b46e334a1,221727
6,64642101-76de-4d38-9a09-c595b0c310d5,221614
35,8a734674-e451-4fe1-8b50-3b3b46e334a1,221209
9,64642101-76de-4d38-9a09-c595b0c310d5,221002
4,64642101-76de-4d38-9a09-c595b0c310d5,219818
10,64642101-76de-4d38-9a09-c595b0c310d5,218639
45,8a734674-e451-4fe1-8b50-3b3b46e334a1,217483
30,64642101-76de-4d38-9a09-c595b0c310d5,216646
48,8a734674-e451-4fe1-8b50-3b3b46e334a1,215023
3,64642101-76de-4d38-9a09-c595b0c310d5,214899
34,37cea6a6-eaaa-4e12-9b4b-b444163a2cc8,213885
32,64642101-76de-4d38-9a09-c595b0c310d5,213557
31,64642101-76de-4d38-9a09-c595b0c310d5,212813
17,8a734674-e451-4fe1-8b50-3b3b46e334a1,211760
33,37cea6a6-eaaa-4e12-9b4b-b444163a2cc8,207355
7,64642101-76de-4d38-9a09-c595b0c310d5,207223
13,64642101-76de-4d38-9a09-c595b0c310d5,204778
19,8a734674-e451-4fe1-8b50-3b3b46e334a1,201399
5,64642101-76de-4d38-9a09-c595b0c310d5,197766
18,64642101-76de-4d38-9a09-c595b0c310d5,196397
8,64642101-76de-4d38-9a09-c595b0c310d5,195194
43,64642101-76de-4d38-9a09-c595b0c310d5,173370
2,64642101-76de-4d38-9a09-c595b0c310d5,161439
49,8a734674-e451-4fe1-8b50-3b3b46e334a1,159141
1,8a734674-e451-4fe1-8b50-3b3b46e334a1,157924
51,8a734674-e451-4fe1-8b50-3b3b46e334a1,157696
50,8a734674-e451-4fe1-8b50-3b3b46e334a1,154805
52,8a823f01-771f-420e-8971-928cba314a24,150972
